date,date,TMAX,TMIN,TAVG
1/1/1949,1/1/1949,-0.6,-7.8,-4.2
1/2/1949,1/2/1949,2.8,-3.3,-0.25
1/3/1949,1/3/1949,4.4,1.7,3.05
1/4/1949,1/4/1949,10,4.4,7.2
1/5/1949,1/5/1949,4.4,-2.8,0.8
1/6/1949,1/6/1949,5.6,-3.9,0.85
1/7/1949,1/7/1949,11.1,1.7,6.4
1/8/1949,1/8/1949,12.2,2.2,7.2
1/9/1949,1/9/1949,7.2,1.1,4.15
1/10/1949,1/10/1949,2.2,0,1.1
1/11/1949,1/11/1949,0,-1.7,-0.85
1/12/1949,1/12/1949,-0.6,-2.2,-1.4
1/13/1949,1/13/1949,1.1,-3.3,-1.1
1/14/1949,1/14/1949,0.6,-1.7,-0.55
1/15/1949,1/15/1949,17.2,0.6,8.9
1/16/1949,1/16/1949,13.3,-5,4.15
1/17/1949,1/17/1949,-4.4,-8.9,-6.65
1/18/1949,1/18/1949,1.1,-6.7,-2.8
1/19/1949,1/19/1949,-2.8,-13.3,-8.05
1/20/1949,1/20/1949,-2.8,-13.9,-8.35
1/21/1949,1/21/1949,2.2,-5,-1.4
1/22/1949,1/22/1949,0,-10,-5
1/23/1949,1/23/1949,5.6,-2.2,1.7
1/24/1949,1/24/1949,5.6,-3.3,1.15
1/25/1949,1/25/1949,0,-5,-2.5
1/26/1949,1/26/1949,1.1,-3.3,-1.1
1/27/1949,1/27/1949,6.1,-1.7,2.2
1/28/1949,1/28/1949,1.7,-12.2,-5.25
1/29/1949,1/29/1949,-7.8,-18.9,-13.35
1/30/1949,1/30/1949,-8.9,-18.9,-13.9
1/31/1949,1/31/1949,-4.4,-10,-7.2
2/1/1949,2/1/1949,0,-8.9,-4.45
2/2/1949,2/2/1949,-2.2,-12.2,-7.2
2/3/1949,2/3/1949,1.1,-5.6,-2.25
2/4/1949,2/4/1949,0.6,-11.7,-5.55
2/5/1949,2/5/1949,0,-12.8,-6.4
2/6/1949,2/6/1949,2.2,-8.3,-3.05
2/7/1949,2/7/1949,2.2,-11.1,-4.45
